"CO_NCM";"CO_UNID";"CO_SH6";"CO_PPE";"CO_PPI";"CO_FAT_AGREG";"CO_CUCI_ITEM";"CO_CGCE_N3";"CO_SIIT";"CO_ISIC4";"CO_EXP_SUBSET";"NO_NCM_POR";"NO_NCM_ESP";"NO_NCM_ING"
"29221951";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"N, n-dimetil-2-aminoetanol e seus sais protonados";"N, n-dimetil-2-aminoetanol y sus sales protonados";"N, n-dimethyl-2-aminoethanol and its protonated salts"
"29221952";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"N,N-Dietil-2-aminoetanol e seus sais protonados";"N, n-dietil-2-aminoetanol y sus sales protonados";"N, n-diethyl-2-aminoethanol and its protonated salts"
"29221959";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"Outros n, n-dialquil-2-aminoetanol, seus sais protonados";"Los dem.n, n-dialquil-2-aminoetanol, sus sales protonados";"Oth.n, n-dialkyl 2-aminoethanol and its protonated salts"
"29221961";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"Metildietanolamina e seus sais protonados";"Metildietanolamina y sus sales protonados";"Methyldiethanolamine and its protonated salts"
"29221962";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"Etildietanolamina e seus sais protonados";"Etildietanolamina y sus sales protonados";"Ethyldiethanolamine and its protonated salts"
"29221969";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"Outros n-alquil-dietanolamina e seus sais protonados";"Los dem.n-alquil-dietanolamina y sus sales protonados";"Other n-alkyl-diethanolamine and its protonated salts"
"29221991";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"1-p-Nitrofenil-2-amino-1,3-propanodiol";"1-p-nitrofenil-2-amino-1, 3-propanodiol";"1-p-nitrophenyl-2-amino-1, 3-propanodiol"
"29221992";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"Fumaratos de benciclano";"Fumaratos de benciclano";"Bencyclanefumarate"
"29221993";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"Clembuterol (""clenbuterol"") e seu cloridrato";"Clembuterol (""clenbuterol"") y su clorhidrato";"Clenbuterol and its hydrochloride"
"29221994";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"Mirteca�na";"Mirteca�na";"Myrtecaine"
