CO_NCM;NO_NCM_POR;CO_EXP_SUBSET;NO_EXP_SUBSET_POR;NO_EXP_SUBSET_ESP;NO_EXP_SUBSET_ING;CO_EXP_SET;NO_EXP_SET;NO_EXP_SET_ESP;NO_EXP_SET_ING
01011010;Cavalos reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01011090;Animais da espécie asinina/muar, reprodutores, raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01011100;Cavalos reprodutores, de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01011900;Outros cavalos, vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01012000;Asininos e muares vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01012100;Cavalos reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01012900;Cavalos, exceto reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01013000;Animais espécie asinina/muar, reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01019000;Animais espécie asinina/muar, exceto reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01019010;Cavalos vivos, exceto reprodutores raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01019090;Animais espécie asinina/muar, exceto reprodutores de raça pura pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01021010;Bovinos reprodutores de raça pura, prenhe ou cria ao pé;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01021090;Outros bovinos reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01022110;Bovinos reprodutores raça pura, prenhe ou com cria ao pé;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01022190;Outros bovinos reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01022911;Outros bovinos para reprodução, prenhe ou com cria ao pé;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01022919;Outros bovinos para reprodução;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01022990;Outros bovinos vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01023110;Búfalos reprodutores de raça pura, prenhe ou com cria ao pé;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01023190;Outros búfalos reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
